Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314	T20200315	T20200316	T20200317	T20200318	T20200319	T20200320	T20200321	T20200322	T20200323	T20200324	T20200325	T20200326	T20200327	T20200328	T20200329	T20200330	T20200331	T20200401	T20200402	T20200403	T20200404	T20200405	T20200406	T20200407	T20200408	T20200409	T20200410	T20200411	T20200412	T20200413	T20200414	T20200415	T20200416	T20200417	T20200418	T20200419	T20200420	T20200421	T20200422	T20200423	T20200424	T20200425
利比里亚	Liberia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	6	6	6	10	13	14	14	14	31	31	31	50	51	59	59	59	76	76	76	91	101	101	101	117	120
利比亚	Libya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	10	11	17	18	18	19	21	21	24	24	25	25	26	35	48	49	49	49	51	51	59	60	60	61
列支敦士登	Liechtenstein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51	51	51	51	56	56	56	64	64	64	64	75	64	64	64	64	64	64	64	79	79	79	79	79	79	79	79	79	79	79	79	79	79
留尼汪	Reunion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
卢森堡	Luxembourg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	3	3	5	5	5	7	7	7	59	81	81	203	335	484	670	798	875	875	1099	1333	1453	1605	1831	1988	1988	2178	2319	2487	2612	2729	2804	2843	2970	3034	3115	3223	3270	3281	3292	3307	3373	3444	3480	3537	3550	3558	3618	3654	3665	3695
卢旺达	Rwanda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	7	7	11	11	17	17	17	36	40	41	50	54	60	70	70	75	82	84	89	102	104	105	105	110	113	113	120	126	127	134	136	138	143	144	147	147	150	153	154	176
罗马尼亚	Romania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	3	3	4	6	6	9	13	17	17	28	49	70	97	123	123	158	158	158	277	308	308	308	576	762	907	907	1452	1760	1952	2245	2460	2738	3183	3613	3864	4057	4417	4761	5202	5467	5990	6300	6633	6879	7216	7707	8067	8418	8746	8936	9242	9710	10096	10417	10635
马达加斯加	Madagascar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	12	12	19	19	24	28	43	43	46	57	57	59	70	72	72	82	93	93	93	93	106	106	108	108	111	117	120	120	121	121	121	121	122	123
马恩岛	Isle of Man	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
马尔代夫	Maldives	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	6	6	6	9	10	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	17	18	18	18	18	19	19	19	19	19	19	19	19	20	20	20	21	23	28	34	51	67	83	86	94	116	137
