Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314	T20200315	T20200316	T20200317	T20200318	T20200319	T20200320	T20200321	T20200322	T20200323	T20200324	T20200325	T20200326	T20200327	T20200328	T20200329	T20200330	T20200331	T20200401	T20200402	T20200403	T20200404	T20200405	T20200406	T20200407	T20200408	T20200409	T20200410	T20200411	T20200412	T20200413	T20200414	T20200415	T20200416	T20200417	T20200418	T20200419	T20200420	T20200421	T20200422	T20200423	T20200424	T20200425	T20200426	T20200427	T20200428	T20200429	T20200430	T20200501	T20200502	T20200503	T20200504	T20200505	T20200506	T20200507	T20200508	T20200509	T20200510
梅州市	Meizhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	5	5	5	6	7	9	10	12	12	13	13	13	13	13	13	14	15	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
绵阳市	Mianyang	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	7	8	8	9	11	12	14	17	17	17	18	19	20	20	21	21	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
牡丹江市	Mudanjiang	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	6	7	8	8	9	10	11	13	12	12	12	12	12	12	12	12	12	13	13	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	20	20	20	20	20	20	20	20	20	20	20
那曲市	Nagchu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
南昌市	Nanchang	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	8	17	25	46	67	83	89	103	121	134	149	162	168	179	190	196	206	211	218	223	228	229	230	231	231	231	231	231	231	230	230	230	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	232	232	232	232	232	232	232	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233
南充市	Nanchong	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	5	9	11	16	23	26	27	28	29	30	31	32	33	34	34	35	35	35	35	35	38	38	38	38	38	38	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39
南京市	Nanjing	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	7	7	10	14	19	25	28	35	40	44	47	52	57	65	71	78	84	87	90	91	91	92	92	92	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	94	94	94	94	94	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95
南宁市	Nanning	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	7	15	16	16	16	22	27	28	30	31	32	35	37	41	44	44	47	49	50	51	54	54	54	54	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
南平市	Nanping	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	3	3	8	8	11	11	12	12	12	14	16	18	19	19	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
南通市	Nantong	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	4	6	6	9	10	12	17	19	22	25	27	29	31	32	33	35	37	38	39	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	41	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42
